Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-03-31,877.0,890.35,876.65,886.54,3957612.0,0.0,1.0,877.0,890.35,876.65,886.54,3957612.0
2017-03-30,874.95,877.06,871.66,876.34,2762730.0,0.0,1.0,874.95,877.06,871.66,876.34,2762730.0
2017-03-29,859.05,876.438,859.02,874.32,4485770.0,0.0,1.0,859.05,876.438,859.02,874.32,4485770.0
2017-03-28,851.75,858.46,850.1,856.0,3041633.0,0.0,1.0,851.75,858.46,850.1,856.0,3041633.0
2017-03-27,838.07,850.3,833.5,846.82,2755775.0,0.0,1.0,838.07,850.3,833.5,846.82,2755775.0
2017-03-24,851.68,851.8,843.53,845.61,2138269.0,0.0,1.0,851.68,851.8,843.53,845.61,2138269.0
2017-03-23,848.2,850.89,844.8,847.38,1952964.0,0.0,1.0,848.2,850.89,844.8,847.38,1952964.0
2017-03-22,840.43,849.37,839.05,848.06,2658669.0,0.0,1.0,840.43,849.37,839.05,848.06,2658669.0
2017-03-21,858.84,862.795,841.31,843.2,4382852.0,0.0,1.0,858.84,862.795,841.31,843.2,4382852.0
2017-03-20,851.51,857.8,851.01,856.97,2282727.0,0.0,1.0,851.51,857.8,851.01,856.97,2282727.0
2017-03-17,853.49,853.83,850.64,852.31,3384403.0,0.0,1.0,853.49,853.83,850.64,852.31,3384403.0
2017-03-16,855.3,855.5,850.51,853.42,1842296.0,0.0,1.0,855.3,855.5,850.51,853.42,1842296.0
2017-03-15,854.33,854.45,847.11,852.97,2562176.0,0.0,1.0,854.33,854.45,847.11,852.97,2562176.0
2017-03-14,853.55,853.75,847.55,852.53,2130586.0,0.0,1.0,853.55,853.75,847.55,852.53,2130586.0
2017-03-13,851.77,855.69,851.71,854.59,1909672.0,0.0,1.0,851.77,855.69,851.71,854.59,1909672.0
2017-03-10,857.0,857.35,851.72,852.46,2436434.0,0.0,1.0,857.0,857.35,851.72,852.46,2436434.0
2017-03-09,851.0,856.3999,850.31,853.0,2048187.0,0.0,1.0,851.0,856.3999,850.31,853.0,2048187.0
2017-03-08,848.0,853.07,846.79,850.5,2288317.0,0.0,1.0,848.0,853.07,846.79,850.5,2288317.0
2017-03-07,845.48,848.46,843.75,846.02,2247554.0,0.0,1.0,845.48,848.46,843.75,846.02,2247554.0
2017-03-06,845.23,848.49,841.12,846.61,2610370.0,0.0,1.0,845.23,848.49,841.12,846.61,2610370.0
2017-03-03,847.2,851.985,846.27,849.88,1951575.0,0.0,1.0,847.2,851.985,846.27,849.88,1951575.0
2017-03-02,853.08,854.82,847.28,848.91,2132098.0,0.0,1.0,853.08,854.82,847.28,848.91,2132098.0
2017-03-01,853.05,854.83,849.01,853.08,2760083.0,0.0,1.0,853.05,854.83,849.01,853.08,2760083.0
2017-02-28,851.45,854.09,842.05,845.04,2793709.0,0.0,1.0,851.45,854.09,842.05,845.04,2793709.0
2017-02-27,842.38,852.5,839.67,848.64,2713627.0,0.0,1.0,842.38,852.5,839.67,848.64,2713627.0
2017-02-24,844.69,845.81,837.7501,845.24,3687963.0,0.0,1.0,844.69,845.81,837.7501,845.24,3687963.0
2017-02-23,857.57,860.86,848.0,852.19,3461984.0,0.0,1.0,857.57,860.86,848.0,852.19,3461984.0
2017-02-22,856.95,858.43,852.18,855.61,2616971.0,0.0,1.0,856.95,858.43,852.18,855.61,2616971.0
2017-02-21,848.84,857.98,847.25,856.44,3507742.0,0.0,1.0,848.84,857.98,847.25,856.44,3507742.0
2017-02-17,842.0,847.27,840.73,845.07,3112275.0,0.0,1.0,842.0,847.27,840.73,845.07,3112275.0
2017-02-16,841.84,845.0,839.375,844.14,2714667.0,0.0,1.0,841.84,845.0,839.375,844.14,2714667.0
2017-02-15,834.0,842.81,832.82,842.7,2968853.0,0.0,1.0,834.0,842.81,832.82,842.7,2968853.0
2017-02-14,837.0,838.31,831.4522,836.39,2792442.0,0.0,1.0,837.0,838.31,831.4522,836.39,2792442.0
2017-02-13,831.62,842.9999,828.55,836.53,4172618.0,0.0,1.0,831.62,842.9999,828.55,836.53,4172618.0
2017-02-10,823.82,828.0,822.85,827.46,2429609.0,0.0,1.0,823.82,828.0,822.85,827.46,2429609.0
2017-02-09,821.6,825.0,819.71,821.36,2484948.0,0.0,1.0,821.6,825.0,819.71,821.36,2484948.0
2017-02-08,812.69,821.4789999999999,812.5,819.71,2857985.0,0.0,1.0,812.69,821.4789999999999,812.5,819.71,2857985.0
2017-02-07,809.31,816.16,807.5,812.5,3466091.0,0.0,1.0,809.31,816.16,807.5,812.5,3466091.0
2017-02-06,809.8,810.72,803.0,807.64,3897301.0,0.0,1.0,809.8,810.72,803.0,807.64,3897301.0
