favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
68601,Twitter for Android,So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,,False,Fri Jan 06 00:40:03 +0000 2017,20339,817168818539757568
122919,Twitter for iPhone,"The U.S. Coast Guard, FEMA and all Federal and State brave people are ready. Here comes Irma. God bless everyone!",,False,Sun Sep 10 02:56:37 +0000 2017,23917,906712991940399104
62863,Twitter for iPhone,"Great Tax Cut rollout today. The lobbyists are storming Capital Hill, but the Republicans will hold strong and do what is right for America!",,False,Fri Nov 03 00:05:07 +0000 2017,12723,926238774773862400
170750,Twitter for iPhone,"The American dream is back. We’re going to create an environment for small business like we haven’t had in many, ma… https://t.co/Bh7SrNEgz1",,False,Mon Jan 30 21:07:52 +0000 2017,33140,826175120238604288
210385,Twitter for Android,"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!",,False,Sun Jan 29 13:08:18 +0000 2017,48014,825692045532618753
85593,Twitter for iPhone,"Tainted (no, very dishonest?) FBI “agent’s role in Clinton probe under review.” Led Clinton Email probe.… https://t.co/gpveJGRATD",,False,Sun Dec 03 12:42:47 +0000 2017,25189,937301085156503552
97887,Twitter for iPhone,Russia and China are playing the Currency Devaluation game as the U.S. keeps raising interest rates. Not acceptable!,,False,Mon Apr 16 12:31:02 +0000 2018,21509,985858100149309441
48912,Media Studio,This week we came one step closer to reaching the goal of aligning the skills taught in our nation’s classrooms wit… https://t.co/vqXGxIH3Sa,,False,Fri Sep 29 17:45:07 +0000 2017,9979,913821956625059840
76536,Media Studio,"'President Donald J. Trump Proclaims September 3, 2017, as a National Day of Prayer' #HurricaneHarvey #PrayForTexas… https://t.co/tOMfFWwEsN",,False,Fri Sep 01 19:47:23 +0000 2017,23722,903705867891204096
42492,Twitter for iPhone,"'Manufacturing openings, hires rise to highest levels of the recovery'
https://t.co/txFZDYYIOe",,False,Tue May 09 21:38:51 +0000 2017,9442,862059314277748736
127786,Twitter for iPhone,"The terrorist came into our country through what is called the ""Diversity Visa Lottery Program,"" a Chuck Schumer beauty. I want merit based.",,False,Wed Nov 01 11:24:32 +0000 2017,35720,925684982307348480
61790,Twitter for iPhone,"Presidential Proclamation Honoring the Victims of the Tragedy in Parkland, Florida: https://t.co/RTQWAKiSnR https://t.co/Nhs32bm5zB",,False,Thu Feb 15 20:19:11 +0000 2018,13496,964232645495459840
62642,Twitter for iPhone,Economic confidence is soaring as we unleash the power of private sector job creation and stand up for the American Workers. #AmericaFirst,,False,Wed Apr 12 23:09:56 +0000 2017,11600,852297762599313409
58679,Twitter for iPhone,"I am watching the Democrats trying to defend the ""you can keep you doctor, you can keep your plan &amp; premiums will go down"" ObamaCare lie.""",,False,Thu May 04 17:43:11 +0000 2017,13841,860188065758838785
73971,Twitter for Android,"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the.....",,False,Sat Feb 11 13:18:43 +0000 2017,13385,830405706255912960
213078,Twitter for iPhone,"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",,False,Fri Jan 20 17:53:17 +0000 2017,59214,822502270503972872
68553,Twitter for iPhone,...and people like Ms. Heyer. Such a disgusting lie. He just can't forget his election trouncing.The people of South Carolina will remember!,,False,Thu Aug 17 10:24:05 +0000 2017,14553,898128290698989568
131207,Twitter for iPhone,....Transgender individuals to  serve in any capacity in the U.S. Military. Our military must be focused on decisive and overwhelming.....,,False,Wed Jul 26 13:04:39 +0000 2017,42559,890196164313833472
69106,Twitter for iPhone,"Budget that just passed is a really big deal, especially in terms of what will be the biggest tax cut in U.S. history - MSM barely covered!",,False,Sat Oct 21 11:52:56 +0000 2017,14981,921705862992887808
46312,Twitter for iPhone,"The White House is running very smoothly despite phony Witch Hunts etc. There is great Energy and unending Stamina,… https://t.co/2jCDNt5hH8",,False,Mon Apr 30 23:02:13 +0000 2018,11321,991090373417152515
44319,Twitter for Android,"Republicans must be careful in that the Dems own the failed ObamaCare disaster, with its poor coverage and massive premium increases......",,False,Wed Jan 04 13:55:53 +0000 2017,10714,816644321768312832
144046,Twitter for iPhone,"We are not in a trade war with China, that war was lost many years ago by the foolish, or incompetent, people who r… https://t.co/E5TbG7MiGS",,False,Wed Apr 04 11:22:03 +0000 2018,37060,981492087328792577
54754,Twitter Web Client,It was a true honor to be at Yokota Air Base with our GREAT @USForcesJapan! https://t.co/KEXnIkkQks,,False,Sun Nov 05 07:28:31 +0000 2017,11472,927075137131896832
72300,Twitter for iPhone,More great news as a result of historical Tax Cuts and Reform: Fiat Chrysler announces plan to invest more than $1… https://t.co/K7893jxDWC,,False,Fri Jan 12 02:49:56 +0000 2018,18668,951647402599026689
43210,Twitter for Android,"""@romoabcnews: .@DavidMuir first @POTUS interview since taking office.  Tonight on @ABCWorldNews @ABC2020 tonight. https://t.co/I4Vz1mRdBK""",,False,Thu Jan 26 02:45:32 +0000 2017,6186,824448156935081984
55597,Twitter for iPhone,Insurance companies are fleeing ObamaCare - it is dead. Our healthcare plan will lower premiums &amp; deductibles - and be great healthcare!,,False,Thu May 04 17:56:51 +0000 2017,11719,860191508619722752
88235,Twitter for iPhone,Thank you to former campaign adviser Michael Caputo for saying so powerfully that there was no Russian collusion in our winning campaign.,,False,Sun Jul 16 11:04:07 +0000 2017,18802,886541955311816705
50267,Twitter for iPhone,"Ralph Northam will allow crime to be rampant in Virginia. He’s weak on crime, weak on our GREAT VETS, Anti-Second Amendment....",,False,Tue Nov 07 10:53:04 +0000 2017,12597,927851387857367040
74956,Twitter for iPhone,"Departing Pittsburgh now, where it was my great honor to stand with our incredible workers, and to show the world t… https://t.co/hig8AOxDFs",,False,Thu Jan 18 20:45:33 +0000 2018,14965,954092417250222082
60035,Twitter for iPhone,Very interesting election currently taking place in France.,,False,Sun Apr 23 14:05:07 +0000 2017,16133,856146924705120256
83473,Twitter for iPhone,.@FLOTUS Melania and I join millions of people around the world in mourning the passing of Billy Graham. Our prayer… https://t.co/Q8BrGTiHuP,,False,Wed Feb 21 21:12:45 +0000 2018,18076,966420452070559749
72928,Twitter Web Client,Met with President Putin of Russia who was at #APEC meetings. Good discussions on Syria. Hope for his help to solve… https://t.co/eOt8rDcpeY,,False,Sun Nov 12 00:16:05 +0000 2017,14694,929503025512693760
99353,Twitter for Android,Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.,,False,Wed Feb 01 00:31:08 +0000 2017,15663,826588658304217088
109885,Twitter for iPhone,"The Massive Tax Cuts, which the Fake News Media is desperate to write badly about so as to please their Democrat bo… https://t.co/9RZmBbjPQo",,False,Thu Dec 21 12:24:22 +0000 2017,24797,943819430735372289
91464,Twitter for Android,Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,,False,Sun Jan 15 00:22:01 +0000 2017,21084,820425770925338624
35750,Twitter for iPhone,"Beautiful evening with Religious Leaders here at the WH last night. Join us now for a #NationalDayofPrayer, LIVE:… https://t.co/b8j1tWZJuv",,False,Thu May 04 15:26:00 +0000 2017,7785,860153543151542272
68207,Twitter for iPhone,Do not underestimate the UNITY within the Republican Party!,,False,Thu Oct 26 14:30:45 +0000 2017,12887,923557515828310020
116720,Twitter for iPhone,"I hereby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/qCDljfF3wN",,False,Fri Mar 03 21:02:23 +0000 2017,38490,837770149767827456
50208,Twitter for iPhone,"Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/QzFdxQdgAL",,False,Tue Dec 05 23:13:28 +0000 2017,12161,938184577255919623
72105,Twitter for iPhone,"Congressman Ron DeSantis is a brilliant young leader, Yale and then Harvard Law, who would make a GREAT Governor of… https://t.co/T3T1ayf1Vh",,False,Fri Dec 22 18:40:29 +0000 2017,15953,944276471614509057
79392,Twitter for iPhone,Lawmakers of the House Judiciary Committee are angrily accusing the Department of Justice of missing the Thursday D… https://t.co/x1ilNS0Dwz,,False,Sat Apr 07 20:52:58 +0000 2018,22147,982722926305832960
66413,Twitter for iPhone,"I will also be going to a wonderful state, Missouri, that I won by a lot in '16. Dem C.M. is opposed to big tax cuts. Republican will win S!",,False,Sun Aug 27 13:15:18 +0000 2017,11949,901795255086968833
122771,Twitter for iPhone,"Can you imagine what the outcry would be if @SnoopDogg, failing career and all, had aimed and fired the gun at President Obama? Jail time!",,False,Wed Mar 15 11:02:40 +0000 2017,39063,841967881516679168
91196,Twitter for iPhone,More and more people are suggesting that Republicans (and me) should be given Equal Time on T.V. when you look at the one-sided coverage?,,False,Sat Oct 07 12:04:05 +0000 2017,17466,916635236238274561
54707,Twitter for iPad,"Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi",,False,Thu Nov 02 17:31:32 +0000 2017,11104,926139726129704960
34064,Twitter for iPhone,....and has been horrible on Virginia economy. Vote @EdWGillespie today!,realDonaldTrump,False,Tue Nov 07 10:53:19 +0000 2017,6881,927851452185407490
79198,Twitter for iPhone,"The people of Alabama will do the right thing. Doug Jones is Pro-Abortion, weak on Crime, Military and Illegal Immi… https://t.co/yv1IbXRYEj",,False,Tue Dec 12 14:09:26 +0000 2017,20531,940584383605563392
67734,Twitter for iPhone,"The Mayor of San Juan, who was very complimentary only a few days ago, has now been told by the Democrats that you must be nasty to Trump.",,False,Sat Sep 30 11:19:14 +0000 2017,20785,914087234869047296
76708,Twitter for iPhone,"Today, it was my tremendous honor to visit Marine Helicopter Squadron One (HMX-1) at the Marine Corps Air Facility… https://t.co/EUYbJAie51",,False,Fri Dec 15 21:58:12 +0000 2017,17801,941789515248750592
88061,Media Studio,"THANK YOU to all of the great men and women at the U.S. Customs and Border Protection facility in Yuma, Arizona &amp; a… https://t.co/DX45ZnLYs1",,False,Wed Aug 23 00:20:52 +0000 2017,19589,900150814081036288
